Liga,Zespół_1,Zespół_2,1,0,2,10,02,12,Data,Wygrany,Bramki_1,Bramki_2
1-portugalia,Farense,FC Vizela,2.27,3.4,3.15,1.36,1.64,1.32,07.10. 16:30,0.0,0.0,0.0
1-portugalia,Chaves,Gil Vicente FC,2.65,3.4,2.6,1.49,1.47,1.31,07.10. 16:30,1.0,4.0,2.0
1-portugalia,SC Braga,Rio Ave,1.31,5.6,9.2,1.06,3.5,1.15,07.10. 19:00,1.0,2.0,1.0
1-portugalia,Estoril Praia,SL Benfica,8.8,5.8,1.3,3.5,1.06,1.13,07.10. 21:30,2.0,0.0,1.0
1-niemcy,Leverkusen,1.FC Koln,1.32,6.0,9.0,1.08,3.6,1.15,08.10. 15:30,1.0,3.0,0.0
1-niemcy,Bayern M.,Freiburg,1.15,9.0,16.0,1.02,5.8,1.07,08.10. 17:30,1.0,3.0,0.0
1-niemcy,Eint.Frankfurt,Heidenheim,1.82,3.95,4.2,1.25,2.04,1.27,08.10. 19:30,1.0,2.0,0.0
1-anglia,Wolverhampton,Aston Villa,3.4,3.65,2.12,1.76,1.34,1.31,08.10. 15:00,0.0,1.0,1.0
1-anglia,West Ham,Newcastle,3.4,3.75,2.1,1.78,1.34,1.29,08.10. 15:00,0.0,2.0,2.0
1-anglia,Brighton,Liverpool,3.15,4.0,2.1,1.76,1.38,1.26,08.10. 15:00,0.0,2.0,2.0
1-anglia,Arsenal,Man.City,2.9,3.45,2.46,1.58,1.44,1.33,08.10. 17:30,1.0,1.0,0.0
1-belgia,St.Liege,Club Brugge,4.6,4.0,1.68,2.14,1.18,1.23,08.10. 13:30,1.0,2.0,1.0
1-belgia,Antwerp,Eupen,1.25,6.2,10.0,1.04,3.85,1.11,08.10. 16:00,1.0,4.0,1.0
1-belgia,Gent,Genk,2.08,3.7,3.25,1.33,1.73,1.27,08.10. 18:30,0.0,1.0,1.0
1-belgia,Truidense,St.Gilloise,4.0,3.75,1.85,1.94,1.24,1.26,08.10. 19:15,2.0,0.0,4.0
1-francja,Marseille,Le Havre,1.46,4.8,6.8,1.12,2.81,1.2,08.10. 13:00,1.0,3.0,0.0
1-francja,Brest,Toulouse,1.84,3.8,4.3,1.24,2.02,1.29,08.10. 15:00,0.0,1.0,1.0
1-francja,Lyon,Lorient,1.71,4.1,4.7,1.21,2.2,1.25,08.10. 15:00,0.0,3.0,3.0
1-francja,Montpellier,Clermont,1.82,3.95,4.2,1.25,2.04,1.27,08.10. 15:00,1.0,4.0,2.0
1-francja,Lens,Lille,2.24,3.5,3.25,1.37,1.7,1.33,08.10. 17:05,0.0,1.0,1.0
1-francja,Rennes,PSG,3.5,3.6,2.11,1.77,1.33,1.32,08.10. 20:45,2.0,1.0,3.0
1-hiszpania,Villarreal,UD L.Palmas,1.64,4.1,5.4,1.17,2.33,1.26,08.10. 14:00,2.0,1.0,2.0
1-hiszpania,Atl. Madryt,Real Sociedad,1.92,3.5,4.3,1.24,1.93,1.33,08.10. 16:15,1.0,2.0,1.0
1-hiszpania,Celta Vigo,Getafe,2.1,3.2,4.0,1.26,1.78,1.37,08.10. 18:30,0.0,2.0,2.0
1-hiszpania,Alaves,Betis,2.8,3.2,2.7,1.49,1.46,1.37,08.10. 18:30,0.0,1.0,1.0
1-hiszpania,Granada,Barcelona,7.0,5.4,1.4,3.05,1.11,1.17,08.10. 21:00,0.0,2.0,2.0
1-holandia,Zwolle,Feyenoord,8.4,6.0,1.29,3.5,1.06,1.12,08.10. 12:15,2.0,0.0,2.0
1-holandia,Ajax,AZ Alkmaar,2.26,3.75,2.85,1.41,1.62,1.26,08.10. 14:30,2.0,1.0,2.0
1-holandia,Sittard,Tw.Enschede,3.6,3.9,1.91,1.87,1.28,1.25,08.10. 14:30,2.0,0.0,3.0
1-holandia,Sparta Rotterdam,PSV Eindhoven,7.6,5.4,1.35,3.15,1.08,1.15,08.10. 16:45,2.0,0.0,4.0
1-portugalia,FC Famalicao,Vitoria Guimarares,2.55,3.2,2.8,1.42,1.49,1.33,08.10. 16:30,2.0,1.0,3.0
1-portugalia,Casa Pia,Estrela Amadora,2.0,3.4,3.8,1.26,1.8,1.31,08.10. 16:30,2.0,0.0,1.0
1-portugalia,FC Porto,Portimonense,1.16,7.4,17.0,-1.0,5.2,1.09,08.10. 19:00,1.0,1.0,0.0
1-portugalia,Sporting L.,FC Arouca,1.24,6.0,11.0,1.03,3.9,1.11,08.10. 21:30,1.0,2.0,1.0
1-niemcy,Dortmund,Werder B.,1.33,6.2,8.0,1.1,3.5,1.14,20.10. 20:30,1.0,1.0,0.0
1-belgia,St.Gilloise,Eupen,1.2,6.8,13.0,1.02,4.45,1.1,20.10. 20:45,1.0,4.0,1.0
1-francja,Le Havre,Lens,4.7,3.65,1.8,2.05,1.21,1.3,20.10. 21:00,0.0,0.0,0.0
1-hiszpania,Osasuna,Granada,1.75,3.85,4.8,1.2,2.14,1.28,20.10. 21:00,1.0,2.0,0.0
1-niemcy,Freiburg,Bochum,1.7,4.0,5.0,1.19,2.22,1.26,21.10. 15:30,1.0,2.0,1.0
1-niemcy,Darmstadt 98,Leipzig,6.0,4.8,1.5,2.67,1.14,1.2,21.10. 15:30,2.0,1.0,3.0
1-niemcy,Hoffenheim,Eint.Frankfurt,2.14,3.65,3.35,1.35,1.75,1.31,21.10. 15:30,2.0,1.0,3.0
1-niemcy,Un. Berlin,VFB Stuttgart,2.55,3.6,2.7,1.49,1.54,1.31,21.10. 15:30,2.0,0.0,3.0
1-niemcy,Wolfsburg,Leverkusen,4.4,4.2,1.74,2.15,1.23,1.25,21.10. 15:30,2.0,1.0,2.0
1-niemcy,Mainz,Bayern M.,9.4,6.6,1.28,3.9,1.07,1.13,21.10. 18:30,2.0,1.0,3.0
1-anglia,Liverpool,Everton,1.39,5.6,7.0,1.11,3.1,1.16,21.10. 13:30,1.0,2.0,0.0
1-anglia,Bournemouth,Wolverhampton,2.4,3.5,2.95,1.42,1.6,1.32,21.10. 16:00,2.0,1.0,2.0
1-anglia,Man.City,Brighton,1.4,5.4,7.2,1.11,3.1,1.17,21.10. 16:00,1.0,2.0,1.0
1-anglia,Newcastle,Crystal Palace,1.46,4.6,7.4,1.11,2.84,1.22,21.10. 16:00,1.0,4.0,0.0
1-anglia,Nottingham,Luton Town,1.74,3.7,5.2,1.18,2.16,1.3,21.10. 16:00,0.0,2.0,2.0
1-anglia,Brentford,Burnley,1.85,3.75,4.3,1.24,2.0,1.29,21.10. 16:00,1.0,3.0,0.0
1-anglia,Chelsea,Arsenal,3.2,3.5,2.27,1.67,1.38,1.33,21.10. 18:30,0.0,2.0,2.0
1-anglia,Sheffield Utd.,Man.United,7.4,5.2,1.41,3.05,1.11,1.18,21.10. 21:00,2.0,1.0,2.0
1-belgia,Kortrijk,Club Brugge,7.2,5.2,1.37,3.0,1.08,1.15,21.10. 16:00,1.0,1.0,0.0
1-belgia,Molenbeek,Westerlo,2.3,3.6,2.85,1.4,1.59,1.27,21.10. 18:15,0.0,1.0,1.0
1-belgia,Charleroi,Antwerp,3.2,3.45,2.17,1.66,1.33,1.29,21.10. 20:45,1.0,3.0,2.0
1-francja,PSG,Strasbourg,1.22,7.0,12.0,1.04,4.4,1.11,21.10. 17:00,1.0,3.0,0.0
1-francja,Nice,Marseille,2.44,3.35,3.0,1.41,1.58,1.35,21.10. 21:00,1.0,1.0,0.0
1-hiszpania,Real Sociedad,Mallorca,1.55,3.95,7.0,1.11,2.53,1.27,21.10. 14:00,1.0,1.0,0.0
1-hiszpania,Getafe,Betis,2.48,3.05,3.2,1.37,1.56,1.4,21.10. 16:15,0.0,1.0,1.0
1-hiszpania,FC Sevilla,Real M.,4.1,3.95,1.84,2.01,1.26,1.27,21.10. 18:30,0.0,1.0,1.0
1-hiszpania,Celta Vigo,Atl. Madryt,3.65,3.45,2.1,1.77,1.31,1.33,21.10. 21:00,2.0,0.0,3.0
1-holandia,Waalwijk,FC Volendam,1.68,4.2,4.4,1.2,2.15,1.22,21.10. 18:45,1.0,2.0,1.0
1-holandia,PSV Eindhoven,Sittard,1.12,9.4,18.0,-1.0,6.2,1.05,21.10. 18:45,1.0,3.0,1.0
1-holandia,Nijmegen,Almere City,1.82,3.8,4.0,1.23,1.95,1.25,21.10. 20:00,0.0,1.0,1.0
1-holandia,AZ Alkmaar,Heerenveen,1.28,5.8,9.4,1.05,3.6,1.13,21.10. 21:00,1.0,3.0,0.0
1-holandia,Feyenoord,Vitesse Arnhem,1.14,8.2,17.0,-1.0,5.5,1.07,21.10. 21:00,1.0,4.0,0.0
1-niemcy,1.FC Koln,M gladbach,2.3,3.8,3.0,1.43,1.68,1.3,22.10. 15:30,1.0,3.0,1.0
1-niemcy,Heidenheim,Augsburg,2.34,3.7,3.0,1.43,1.66,1.31,22.10. 17:30,2.0,2.0,5.0
1-anglia,Aston Villa,West Ham,1.9,4.0,3.95,1.29,2.0,1.28,22.10. 17:30,1.0,4.0,1.0
1-belgia,Genk,Mechelen,1.48,4.8,6.0,1.13,2.67,1.19,22.10. 13:30,1.0,4.0,0.0
1-belgia,Cercle Brugge,Gent,2.65,3.65,2.55,1.54,1.5,1.3,22.10. 16:00,1.0,2.0,0.0
1-belgia,St.Liege,Anderlecht,3.0,3.55,2.3,1.63,1.39,1.3,22.10. 18:30,1.0,3.0,2.0
1-belgia,Leuven,Truidense,2.33,3.75,2.85,1.44,1.62,1.28,22.10. 19:15,1.0,4.0,0.0
1-francja,Lorient,Rennes,3.95,3.75,1.92,1.92,1.27,1.29,22.10. 13:00,1.0,2.0,1.0
1-francja,Toulouse,Reims,2.75,3.5,2.65,1.54,1.51,1.35,22.10. 15:00,0.0,1.0,1.0
1-francja,Lille,Brest,1.8,3.65,5.0,1.21,2.11,1.32,22.10. 15:00,1.0,1.0,0.0
1-francja,Nantes,Montpellier,3.1,3.6,2.33,1.67,1.41,1.33,22.10. 15:00,1.0,2.0,0.0
1-francja,Monaco,Metz,1.36,5.8,8.2,1.1,3.4,1.17,22.10. 17:05,1.0,2.0,1.0
1-francja,Lyon,Clermont,1.87,3.9,4.2,1.26,2.02,1.29,22.10. 20:45,2.0,1.0,2.0
1-hiszpania,UD L.Palmas,Vallecano,2.65,3.1,2.9,1.43,1.5,1.38,22.10. 14:00,2.0,0.0,1.0
1-hiszpania,Girona,Almeria,1.42,5.2,7.4,1.12,3.05,1.19,22.10. 16:15,1.0,5.0,2.0
1-hiszpania,Villarreal,Alaves,1.93,3.7,4.2,1.27,1.97,1.32,22.10. 18:30,0.0,1.0,1.0
1-hiszpania,Barcelona,Bilbao,1.66,4.1,5.2,1.18,2.3,1.26,22.10. 21:00,1.0,1.0,0.0
1-holandia,Utrecht,Ajax,3.85,3.9,1.88,1.94,1.27,1.26,22.10. 12:15,1.0,4.0,3.0
1-holandia,SBV Excelsior,Zwolle,2.35,3.75,2.8,1.44,1.6,1.28,22.10. 14:30,2.0,2.0,4.0
1-holandia,Heracles,Tw.Enschede,5.4,4.4,1.57,2.42,1.16,1.22,22.10. 14:30,0.0,2.0,2.0
1-holandia,G.A.Eagles,Sparta Rotterdam,2.11,3.75,3.25,1.35,1.74,1.28,22.10. 16:45,0.0,0.0,0.0
1-anglia,Tottenham,Fulham,1.49,4.9,6.2,1.14,2.74,1.2,23.10. 21:00,1.0,2.0,0.0
1-hiszpania,Valencia,Cadiz,1.78,3.6,5.0,1.19,2.1,1.31,23.10. 21:00,1.0,2.0,0.0
liga-mistrzow,Galatasaray,Bayern M.,6.3,5.2,1.47,2.85,1.15,1.19,24.10. 18:45,2.0,1.0,3.0
liga-mistrzow,Inter M.,Salzburg,1.28,6.2,11.0,1.07,3.95,1.15,24.10. 18:45,1.0,2.0,1.0
liga-mistrzow,Lens,PSV Eindhoven,2.47,3.7,2.77,1.48,1.58,1.31,24.10. 21:00,0.0,1.0,1.0
liga-mistrzow,Man.United,FC Kopenhaga,1.34,5.6,8.6,1.08,3.4,1.16,24.10. 21:00,1.0,1.0,0.0
liga-mistrzow,SL Benfica,Real Sociedad,2.27,3.45,3.35,1.37,1.7,1.35,24.10. 21:00,2.0,0.0,1.0
liga-mistrzow,SC Braga,Real M.,6.0,5.0,1.48,2.73,1.14,1.19,24.10. 21:00,2.0,1.0,2.0
liga-mistrzow,Un. Berlin,Napoli,4.3,3.85,1.86,2.03,1.25,1.3,24.10. 21:00,2.0,0.0,1.0
liga-mistrzow,FC Sevilla,Arsenal,4.6,3.95,1.77,2.13,1.22,1.28,24.10. 21:00,2.0,1.0,2.0
liga-mistrzow,Feyenoord,Lazio,1.98,3.95,3.7,1.32,1.91,1.29,25.10. 18:45,1.0,3.0,1.0
liga-mistrzow,Barcelona,S.Donieck,1.21,7.6,14.0,1.04,4.95,1.11,25.10. 18:45,1.0,2.0,1.0
liga-mistrzow,YB Bern,Man.City,14.0,7.2,1.21,4.75,1.04,1.11,25.10. 21:00,2.0,1.0,3.0
liga-mistrzow,Newcastle,Dortmund,1.67,4.2,4.9,1.19,2.26,1.25,25.10. 21:00,2.0,0.0,1.0
liga-mistrzow,Antwerp,FC Porto,3.3,3.55,2.2,1.71,1.35,1.32,25.10. 21:00,2.0,1.0,4.0
liga-mistrzow,PSG,AC Milan,1.74,3.95,4.7,1.21,2.15,1.27,25.10. 21:00,1.0,3.0,0.0
liga-mistrzow,Leipzig,CZ Belgrad,1.26,6.8,10.0,1.06,4.05,1.12,25.10. 21:00,1.0,3.0,1.0
liga-mistrzow,Celtic,Atl. Madryt,4.2,3.9,1.84,2.02,1.25,1.28,25.10. 21:00,0.0,2.0,2.0
liga-europy,Olympiakos,West Ham,3.25,3.55,2.13,1.7,1.33,1.29,26.10. 18:45,1.0,2.0,1.0
liga-europy,Backa Topola,Freiburg,8.2,5.4,1.33,3.25,1.07,1.14,26.10. 18:45,2.0,1.0,3.0
liga-europy,Raków Cz.,Sporting L.,4.4,3.8,1.76,2.04,1.2,1.26,26.10. 18:45,0.0,1.0,1.0
liga-europy,Marseille,AEK Ateny,1.7,3.95,4.6,1.18,2.13,1.24,26.10. 18:45,1.0,3.0,1.0
liga-europy,Molde,Hacken,1.73,3.85,4.5,1.19,2.07,1.25,26.10. 18:45,1.0,5.0,1.0
liga-europy,Sparta P.,Gl.Rangers,2.0,3.65,3.55,1.29,1.8,1.28,26.10. 18:45,0.0,0.0,0.0
liga-europy,Aris Limassol,Betis,3.9,3.8,1.85,1.92,1.24,1.25,26.10. 18:45,2.0,0.0,1.0
liga-europy,Sturm Graz,A.Bergamo,3.75,3.6,1.94,1.84,1.26,1.28,26.10. 18:45,0.0,2.0,2.0
liga-europy,Liverpool,Toulouse,1.2,7.0,12.0,1.02,4.4,1.09,26.10. 21:00,1.0,5.0,1.0
liga-europy,AS Roma,Slavia P.,1.74,3.7,4.6,1.18,2.05,1.26,26.10. 21:00,1.0,2.0,0.0
liga-europy,Brighton,Ajax,1.3,6.0,8.0,1.07,3.45,1.12,26.10. 21:00,1.0,2.0,0.0
liga-europy,Sheriff Tiraspol,Servette,2.32,3.35,3.0,1.37,1.58,1.31,26.10. 21:00,0.0,1.0,1.0
liga-europy,Panathinaikos,Rennes,2.7,3.3,2.6,1.49,1.45,1.32,26.10. 21:00,2.0,1.0,2.0
liga-europy,Leverkusen,FK Karabach,1.21,6.8,12.0,1.03,4.35,1.1,26.10. 21:00,1.0,5.0,1.0
liga-europy,St.Gilloise,LASK,1.62,4.1,5.0,1.16,2.25,1.22,26.10. 21:00,1.0,2.0,1.0
1-niemcy,Bochum,Mainz,2.7,3.6,2.6,1.54,1.51,1.32,27.10. 20:30,0.0,2.0,2.0
1-anglia,Crystal Palace,Tottenham,4.5,3.9,1.8,2.1,1.23,1.28,27.10. 21:00,2.0,1.0,2.0
1-belgia,Truidense,Molenbeek,1.88,3.7,4.2,1.25,1.97,1.3,27.10. 20:45,1.0,2.0,1.0
1-francja,Clermont,Nice,4.4,3.5,1.9,1.95,1.23,1.32,27.10. 21:00,2.0,0.0,1.0
1-hiszpania,Girona,Celta Vigo,1.7,4.3,4.65,1.22,2.23,1.24,27.10. 21:00,1.0,1.0,0.0
1-holandia,Vitesse Arnhem,Zwolle,2.0,3.7,3.45,1.3,1.8,1.27,27.10. 20:00,0.0,1.0,1.0
1-portugalia,FC Arouca,Moreirense FC,2.55,3.2,2.85,1.42,1.51,1.35,27.10. 21:15,2.0,0.0,1.0
1-niemcy,Bayern M.,Darmstadt 98,1.08,13.0,26.0,-1.0,8.7,1.04,28.10. 15:30,1.0,8.0,0.0
1-niemcy,M gladbach,Heidenheim,1.81,4.2,4.0,1.26,2.05,1.25,28.10. 15:30,1.0,2.0,1.0
1-niemcy,Werder B.,Un. Berlin,2.65,3.5,2.65,1.51,1.51,1.32,28.10. 15:30,1.0,2.0,0.0
1-niemcy,VFB Stuttgart,Hoffenheim,1.87,4.1,3.8,1.28,1.97,1.25,28.10. 15:30,2.0,2.0,3.0
1-niemcy,Augsburg,Wolfsburg,2.8,3.6,2.46,1.58,1.46,1.31,28.10. 15:30,1.0,3.0,2.0
1-niemcy,Leipzig,1.FC Koln,1.45,5.0,6.8,1.12,2.88,1.2,28.10. 18:30,1.0,6.0,0.0
1-anglia,Chelsea,Brentford,1.65,4.1,5.2,1.18,2.3,1.25,28.10. 13:30,2.0,0.0,2.0
1-anglia,Arsenal,Sheffield Utd.,1.13,9.4,21.0,1.01,6.5,1.07,28.10. 16:00,1.0,5.0,0.0
1-anglia,Bournemouth,Burnley,2.12,3.7,3.35,1.35,1.76,1.3,28.10. 16:00,1.0,2.0,1.0
1-anglia,Wolverhampton,Newcastle,4.3,3.95,1.81,2.06,1.24,1.27,28.10. 18:30,0.0,2.0,2.0
1-belgia,Mechelen,Cercle Brugge,3.15,3.65,2.15,1.7,1.35,1.28,28.10. 16:00,2.0,0.0,2.0
1-belgia,Eupen,Charleroi,3.25,3.75,2.06,1.74,1.33,1.26,28.10. 18:15,1.0,2.0,0.0
1-belgia,Anderlecht,Leuven,1.5,4.6,5.8,1.13,2.57,1.19,28.10. 20:45,1.0,5.0,1.0
1-francja,Reims,Lorient,1.65,4.2,5.0,1.18,2.28,1.24,28.10. 17:00,1.0,1.0,0.0
1-francja,Lens,Nantes,1.59,4.3,5.6,1.16,2.43,1.24,28.10. 21:00,1.0,4.0,0.0
1-hiszpania,Almeria,UD L.Palmas,2.31,3.5,3.1,1.39,1.64,1.32,28.10. 14:00,2.0,1.0,2.0
1-hiszpania,Barcelona,Real M.,2.5,3.75,2.7,1.5,1.57,1.3,28.10. 16:15,2.0,1.0,2.0
1-hiszpania,Mallorca,Getafe,2.3,3.05,3.6,1.31,1.65,1.4,28.10. 18:30,0.0,0.0,0.0
1-hiszpania,Cadiz,FC Sevilla,3.25,3.35,2.3,1.65,1.36,1.35,28.10. 21:00,0.0,2.0,2.0
1-holandia,Heerenveen,Heracles,1.97,3.75,3.5,1.29,1.81,1.26,28.10. 18:45,1.0,3.0,0.0
1-holandia,Sparta Rotterdam,Waalwijk,1.77,3.8,4.3,1.21,2.02,1.25,28.10. 20:00,1.0,2.0,0.0
1-holandia,Almere City,G.A.Eagles,2.7,3.55,2.47,1.53,1.46,1.29,28.10. 20:00,0.0,0.0,0.0
1-holandia,Sittard,Utrecht,2.38,3.6,2.75,1.43,1.56,1.28,28.10. 21:00,0.0,0.0,0.0
1-portugalia,Portimonense,Estoril Praia,2.48,3.4,2.75,1.43,1.52,1.3,28.10. 16:30,1.0,1.0,0.0
1-portugalia,Vitoria Guimarares,Chaves,1.61,4.0,5.2,1.15,2.26,1.23,28.10. 19:00,1.0,5.0,0.0
1-portugalia,SL Benfica,Casa Pia,1.2,6.6,13.0,1.02,4.4,1.1,28.10. 19:00,0.0,1.0,1.0
1-portugalia,Gil Vicente FC,SC Braga,3.9,3.9,1.83,1.95,1.25,1.25,28.10. 21:30,0.0,3.0,3.0
1-niemcy,Eint.Frankfurt,Dortmund,3.3,3.65,2.16,1.73,1.36,1.31,29.10. 15:30,0.0,3.0,3.0
1-niemcy,Leverkusen,Freiburg,1.27,6.2,9.8,1.05,3.8,1.12,29.10. 17:30,1.0,2.0,1.0
1-anglia,West Ham,Everton,2.16,3.7,3.25,1.36,1.73,1.3,29.10. 14:00,2.0,0.0,1.0
1-anglia,Brighton,Fulham,1.55,4.6,5.6,1.16,2.53,1.21,29.10. 15:00,0.0,1.0,1.0
1-anglia,Aston Villa,Luton Town,1.26,6.2,10.0,1.05,3.85,1.12,29.10. 15:00,1.0,3.0,1.0
1-anglia,Liverpool,Nottingham,1.25,6.6,11.0,1.05,4.15,1.12,29.10. 15:00,1.0,3.0,0.0
1-anglia,Man.United,Man.City,5.2,4.2,1.65,2.32,1.18,1.25,29.10. 16:30,2.0,0.0,3.0
1-belgia,Club Brugge,Antwerp,1.95,3.7,3.6,1.28,1.82,1.26,29.10. 13:30,1.0,2.0,1.0
1-belgia,Westerlo,St.Gilloise,5.0,4.1,1.61,2.25,1.16,1.22,29.10. 16:00,2.0,1.0,3.0
1-belgia,Gent,St.Liege,1.66,4.3,4.5,1.2,2.2,1.21,29.10. 18:30,1.0,3.0,1.0
1-belgia,Kortrijk,Genk,6.0,4.8,1.47,2.67,1.13,1.18,29.10. 19:15,2.0,0.0,3.0
1-francja,Brest,PSG,6.2,4.6,1.49,2.64,1.13,1.2,29.10. 13:00,2.0,2.0,3.0
1-francja,Lille,Monaco,2.33,3.8,2.9,1.44,1.64,1.29,29.10. 15:00,1.0,2.0,0.0
1-francja,Montpellier,Toulouse,1.77,4.0,4.4,1.23,2.1,1.26,29.10. 15:00,1.0,3.0,0.0
1-francja,Metz,Le Havre,2.6,3.2,2.95,1.43,1.53,1.38,29.10. 15:00,0.0,0.0,0.0
1-francja,Rennes,Strasbourg,1.57,4.1,6.2,1.14,2.47,1.25,29.10. 17:05,0.0,1.0,1.0
1-francja,Marseille,Lyon,1.55,4.5,5.6,1.15,2.5,1.21,29.10. 20:45,1.0,3.0,0.0
1-hiszpania,Betis,Osasuna,2.1,3.4,3.7,1.3,1.77,1.34,29.10. 14:00,1.0,2.0,1.0
1-hiszpania,Vallecano,Real Sociedad,3.3,3.25,2.34,1.64,1.36,1.37,29.10. 16:15,0.0,2.0,2.0
1-hiszpania,Bilbao,Valencia,1.66,3.9,5.6,1.16,2.3,1.28,29.10. 18:30,0.0,2.0,2.0
1-hiszpania,Atl. Madryt,Alaves,1.38,4.9,8.2,1.08,3.05,1.18,29.10. 21:00,1.0,2.0,1.0
1-holandia,Tw.Enschede,Feyenoord,3.3,3.6,2.08,1.72,1.32,1.28,29.10. 12:15,1.0,2.0,1.0
1-holandia,FC Volendam,SBV Excelsior,2.7,3.7,2.4,1.56,1.45,1.27,29.10. 14:30,1.0,3.0,1.0
1-holandia,PSV Eindhoven,Ajax,1.31,6.0,8.0,1.08,3.45,1.13,29.10. 14:30,1.0,5.0,2.0
1-holandia,AZ Alkmaar,Nijmegen,1.27,5.8,9.8,1.04,3.65,1.12,29.10. 16:45,2.0,1.0,2.0
1-portugalia,Rio Ave,Farense,2.36,3.35,2.95,1.38,1.57,1.31,29.10. 16:30,2.0,3.0,4.0
1-portugalia,Estrela Amadora,FC Famalicao,2.48,3.25,2.85,1.41,1.52,1.33,29.10. 19:00,1.0,1.0,0.0
1-portugalia,FC Vizela,FC Porto,6.6,4.6,1.45,2.71,1.1,1.19,29.10. 21:30,2.0,0.0,2.0
1-hiszpania,Granada,Villarreal,3.05,3.55,2.35,1.64,1.41,1.33,30.10. 21:00,2.0,2.0,3.0
1-portugalia,Boavista FC,Sporting L.,6.4,4.6,1.47,2.68,1.11,1.19,30.10. 21:15,2.0,0.0,2.0
1-holandia,Ajax,FC Volendam,1.25,6.4,9.8,1.05,3.85,1.11,02.11. 20:00,1.0,2.0,0.0
1-niemcy,1.FC Koln,Augsburg,2.12,3.7,3.5,1.35,1.8,1.32,04.11. 15:30,0.0,1.0,1.0
1-niemcy,Freiburg,M gladbach,2.1,3.85,3.4,1.35,1.81,1.29,04.11. 15:30,0.0,3.0,3.0
1-niemcy,Mainz,Leipzig,5.2,4.4,1.64,2.38,1.19,1.25,04.11. 15:30,1.0,2.0,0.0
1-niemcy,Un. Berlin,Eint.Frankfurt,2.55,3.25,3.0,1.43,1.56,1.38,04.11. 15:30,2.0,0.0,3.0
1-niemcy,Hoffenheim,Leverkusen,5.1,5.1,1.55,2.55,1.19,1.19,04.11. 15:30,2.0,2.0,3.0
1-niemcy,Dortmund,Bayern M.,3.6,4.4,1.92,1.98,1.33,1.25,04.11. 18:30,2.0,0.0,4.0
1-anglia,Fulham,Man.United,3.15,3.6,2.25,1.68,1.38,1.31,04.11. 13:30,2.0,0.0,1.0
1-anglia,Everton,Brighton,2.9,3.65,2.43,1.62,1.46,1.32,04.11. 16:00,0.0,1.0,1.0
1-anglia,Man.City,Bournemouth,1.1,12.5,19.0,1.01,7.5,1.04,04.11. 16:00,1.0,6.0,1.0
1-anglia,Burnley,Crystal Palace,3.25,3.2,2.45,1.61,1.39,1.4,04.11. 16:00,2.0,0.0,2.0
1-anglia,Brentford,West Ham,2.04,3.7,3.7,1.31,1.85,1.31,04.11. 16:00,1.0,3.0,2.0
1-anglia,Sheffield Utd.,Wolverhampton,3.85,3.65,2.02,1.87,1.3,1.32,04.11. 16:00,1.0,2.0,1.0
1-anglia,Newcastle,Arsenal,3.0,3.25,2.6,1.56,1.44,1.39,04.11. 18:30,1.0,1.0,0.0
1-belgia,Molenbeek,Kortrijk,1.96,3.8,3.45,1.29,1.81,1.25,04.11. 16:00,0.0,1.0,1.0
1-belgia,Leuven,Westerlo,2.12,3.75,3.1,1.35,1.7,1.26,04.11. 18:15,2.0,0.0,2.0
1-belgia,Antwerp,Genk,2.17,3.7,3.05,1.37,1.67,1.27,04.11. 20:45,1.0,3.0,2.0
